region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation
Tambacounda,1970,252656.4309139,221311.6947731,31344.7361408,12.406071
Tambacounda,1971,258972.8416867,226217.5924196,32755.2492671,12.648140699999999
Tambacounda,1972,265447.16272890003,231217.9272448,34229.2354841,12.8949336
Tambacounda,1973,272083.34179710003,236313.79071620002,35769.551080900004,13.1465421
Tambacounda,1974,278885.4253421,241506.2444625,37379.1808796,13.40306
Tambacounda,1975,285857.5609756,246796.3169565,39061.2440191,13.6645831
Tambacounda,1976,293004.0,252185.0,40819.0,13.931209099999998
Tambacounda,1977,300002.40054,257779.839225,42222.561315,14.0740745
Tambacounda,1978,307167.9578769,263493.5737911,43674.384085800004,14.2184049
Tambacounda,1979,314504.6645508,269328.5367682,45176.1277826,14.3642155
Tambacounda,1980,322016.6084636,275287.09952720004,46729.5089364,14.511521400000001
Tambacounda,1981,329707.9751567,281371.6720555,48336.3031012,14.660337900000002
Tambacounda,1982,337583.0501434,287584.70326,49998.3468833,14.8106805
Tambacounda,1983,345646.221296,293928.68125509995,51717.54004090001,14.9625649
Tambacounda,1984,353901.98129170004,300406.1336365,53495.8476552,15.1160068
Tambacounda,1985,362354.9301148,307019.627738,55335.3023768,15.271022400000001
Tambacounda,1986,371009.7776206,313771.77087159996,57238.00674909999,15.4276276
Tambacounda,1987,379871.34615909995,320665.210548,59206.13561109999,15.585838800000001
Tambacounda,1988,388946.0,327704.0,61242.0,15.745630499999999
Tambacounda,1989,398732.270306,335146.477724,63585.792582,15.9469893
Tambacounda,1990,408760.7856365,342748.9407243,66011.8449122,16.1492607
Tambacounda,1991,419022.72515990003,350502.43014099996,68520.29501880001,16.3524055
Tambacounda,1992,429454.71492540004,358352.0955482,71102.6193772,16.556488199999997
Tambacounda,1993,440082.43075570004,366317.729309,73764.7014467,16.7615647
Tambacounda,1994,450930.4626738,374418.5424512,76511.9202227,16.9675652
Tambacounda,1995,462045.89857869997,382684.4449112,79361.4536675,17.1760974
Tambacounda,1996,470800.0,390717.0,80083.0,17.2
Tambacounda,1997,482287.0,399473.0,82814.0,17.1711035
Tambacounda,1998,493999.0,408374.0,85625.0,17.333031
Tambacounda,1999,505924.0,417409.0,88515.0,17.4957108
Tambacounda,2000,518040.0,426558.0,91482.0,17.659254100000002
Tambacounda,2001,530333.0,435809.0,94524.0,17.823518399999998
Tambacounda,2002,605695.0,503303.0,102392.0,16.9048779
