region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation,Nombre de ménages ruraux,Nombre de ménages urbains,Taille moyenne des ménages,Taille moyenne des ménages ruraux,Taille moyenne des ménages urbains,Superficie Perdue,risque déforestation
Thies,1994,1120031.7388095,699747.5324566,420284.206353,37.5243122,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1995,1151194.3818783998,714412.3080118,436782.0738666,37.941644,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1996,1176654.0,702352.2029149,474301.7970851,40.3093685,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1997,1209110.0,716626.7189116002,492483.2810884,40.7310568,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1998,1242329.0,731080.7108989,511248.2891011,41.152407200000006,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1999,1276286.0,745694.1866466998,530591.8133533,41.5731124,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,2000,1310933.0,760426.3199986,550506.6800014,41.9935023,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Ziguinchor,1970,256454.8486084,188610.4922358,67844.3563726,26.4546983,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1971,262866.2198237,191968.8674143,70897.3524094,26.9708875,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1972,269437.8753192,195350.1420514,74087.7332678,27.4971487,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1973,276173.8222022,198752.1409374,77421.68126489999,28.0336784,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1974,283078.1677573,202172.5108355,80905.65692180001,28.580677,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1975,290155.1219512,205608.710468,84546.4114833,29.13834880000001,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1976,297409.0,209058.0,88351.0,29.7069019,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1977,304934.042518,212538.333738,92395.70878,30.3002276,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1978,312649.4836618,216023.8993338,96625.5843279,30.9054035,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1979,320560.14089740004,219511.0373189,101049.1035785,31.5226663,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1980,328670.95358240005,222995.8220421,105675.1315403,32.1522576,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1981,336986.9860499,226474.04698770004,110512.9390622,32.7944234,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1982,345513.430771,229941.2093585,115572.2214125,33.449415,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1983,354255.6115963,233392.4938876,120863.1177088,34.1174885,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1984,363218.9870809,236822.7558435,126396.2312375,34.798905299999994,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1985,372409.1538921,240226.5031886,132182.6507035,35.49393170000001,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1986,381831.8503038,243597.87785110003,138233.97245270002,36.2028396,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1987,391492.9597802,246930.6360686,144562.3237116,36.9259064,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1988,401396.0,250215.0,151181.0,37.6638033,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1989,412075.14058,254106.869585,157968.270995,38.3348218,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1990,423036.7513946,251334.0326136,171702.7187809,40.5881329,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1991,434271.7614381,255149.1753426,179122.58609549995,41.2466575,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1992,445716.12516730005,258929.586332,186786.5388353,41.9070633,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1993,457397.4533757,262688.455474,194708.9979016,42.5688854,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1994,469342.3878705999,266434.6353995,202907.7524711,43.2323518,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1995,481599.2643298,270142.9247462,211456.3395837,43.9071143,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1996,491434.0,272396.33945549995,219037.6605445,44.57112460000001,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1997,504150.0,276079.5282263,228070.4717738,45.2386139,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1998,517141.0,279733.5782061,237407.4217939,45.9076774,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,1999,530393.0,283345.4530356,247047.5469644,46.5782065,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Ziguinchor,2000,543886.0,286899.1157372,256986.8842628,47.2501378,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1252.073933855796,1
Dakar,2001,2411529.0,81293.0,2330236.0,96.6289852,8129.3,291279.5,8.0,10.0,8.0,3.711570925903321,1
Dakar,2002,2267356.0,74986.0,2192370.0,96.6927999,6692.0,287111.0,7.5,9.3,7.5,0.07447080688476562,1
Dakar,2003,2268542.0,77282.0,2191260.0,96.5933185,8290.0,294261.0,7.5,9.0453559,7.4504267,3.711570925903321,1
Dakar,2004,2399451.0,79349.0,2320102.0,96.6930352,8817.0,311423.0872483,7.5,9.0,7.45,0.0744604736328125,1
Dakar,2005,2452656.0,81106.0,2371550.0,96.6931359,8118.718718699999,296443.75,8.05,9.99,8.0,3.711570925903321,1
Dakar,2006,2508311.0,82943.0,2425368.0,96.6932729,8099.902343800001,296862.6682987,7.78,10.24,8.17,3.711570925903321,1
Dakar,2007,2428155.0,79950.90420710001,2348204.0957929003,96.7073393,7800.6979881,301083.3993927,7.799181599999999,10.249198800000002,7.799181599999999,0.07447554931640625,1
Dakar,2008,2482294.0,69079.0,2413215.0,97.2171306,6716.6849521,308716.8090078,7.8169213000000015,10.2846866,7.8169213000000015,0.14894259643554686,1
Dakar,2009,2536959.0,70600.0,2466359.0,97.2171407,6838.574720899999,314860.2439244001,7.833186500000001,10.3237886,7.833186500000001,3.711570925903321,1
Dakar,2010,2592191.0,72137.0,2520054.0,97.22,6958.5545165,321110.0920315,7.8479439,10.3666645,7.8479439,3.711570925903321,1
Dakar,2013,3137196.0,110880.0,3026316.0,96.4656336422716,55003.9325843,10098.607983,7.9079812999999985,8.9,6.9,3.5733254699707033,1
Dakar,2014,3233460.0,116405.0,3117055.0,96.39998639228571,56751.6057247,10553.0453423,7.9079812999999985,8.9,6.9,7.295835028076173,1
Dakar,2015,3330692.0,119905.0,3210787.0,96.3999973579064,58553.9254969,11027.9323827,7.9079812999999985,8.9,6.9,6.626440618896485,1
